,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,month,daylight_minutes,hour_sin,hour_cos
76,87.23,56,30.44,48,67.49,3.37,9,720.0,0.0,1.0
77,109.93,56,30.43,49,180.29,2.25,9,720.0,0.0,1.0
78,130.82,57,30.43,57,150.2,2.25,9,720.0,0.0,1.0
79,160.52,57,30.43,55,47.3,5.62,9,720.0,0.0,1.0
80,191.37,58,30.43,52,333.81,1.12,9,720.0,0.0,1.0
81,207.05,58,30.43,49,41.62,4.5,9,720.0,0.0,1.0
82,240.99,58,30.43,45,132.36,5.62,9,720.0,0.0,1.0
83,274.83,58,30.43,41,332.09,4.5,9,720.0,0.0,1.0
84,300.94,58,30.43,55,45.88,3.37,9,720.0,0.0,1.0
85,322.71,58,30.43,56,94.24,7.87,9,720.0,0.0,1.0
86,346.59,58,30.43,50,81.57,6.75,9,720.0,0.0,1.0
87,364.18,58,30.43,49,351.03,7.87,9,720.0,0.0,1.0
88,368.35,58,30.43,51,78.81,5.62,9,720.0,0.0,1.0
89,362.84,58,30.43,46,85.96,5.62,9,720.0,0.0,1.0
90,423.9,59,30.43,48,19.78,4.5,9,720.0,0.0,1.0
91,457.69,58,30.43,59,18.26,4.5,9,720.0,0.0,1.0
92,511.38,58,30.43,52,69.08,3.37,9,720.0,0.0,1.0
93,566.83,58,30.43,52,40.87,4.5,9,720.0,0.0,1.0
94,187.96,58,30.43,49,0.13,4.5,9,720.0,0.0,1.0
95,310.59,59,30.43,58,27.34,9.0,9,720.0,0.0,1.0
96,230.26,59,30.43,46,359.93,3.37,9,720.0,0.0,1.0
97,623.31,60,30.43,46,22.18,7.87,9,720.0,0.0,1.0
98,312.1,60,30.43,48,4.38,10.12,9,720.0,0.0,1.0
99,803.72,60,30.43,44,355.03,7.87,9,720.0,0.0,1.0
100,671.97,60,30.42,47,0.4,7.87,9,720.0,0.0,1.0
101,670.32,60,30.42,51,53.16,4.5,9,720.0,0.0,1.0
102,679.73,60,30.42,48,353.87,9.0,9,720.0,0.0,1.0
103,687.62,60,30.43,54,2.04,4.5,9,720.0,0.0,1.0
104,697.66,61,30.42,53,34.85,11.25,9,720.0,0.0,1.0
105,716.27,61,30.42,44,11.08,7.87,9,720.0,0.0,1.0
106,744.43,61,30.43,50,1.6,5.62,9,720.0,0.0,1.0
107,612.34,61,30.42,53,345.21,7.87,9,720.0,0.0,1.0
108,760.9,61,30.42,50,165.42,4.5,9,720.0,0.0,1.0
109,773.71,61,30.42,57,30.3,6.75,9,720.0,0.0,1.0
110,790.08,61,30.42,59,34.24,3.37,9,720.0,0.0,1.0
111,804.28,61,30.42,59,19.11,7.87,9,720.0,0.0,1.0
112,818.82,61,30.42,53,84.61,6.75,9,720.0,0.0,1.0
113,855.63,62,30.42,51,31.88,5.62,9,720.0,0.0,1.0
114,875.16,62,30.42,58,149.48,3.37,9,720.0,0.0,1.0
115,867.9,62,30.42,54,62.54,3.37,9,720.0,0.0,1.0
116,872.67,62,30.43,58,39.59,5.62,9,720.0,0.0,1.0
117,890.52,62,30.43,50,122.13,4.5,9,720.0,0.0,1.0
118,911.06,62,30.43,53,65.07,7.87,9,720.0,0.0,1.0
119,925.16,62,30.43,49,69.79,7.87,9,720.0,0.0,1.0
120,933.15,62,30.43,47,346.87,5.62,9,720.0,0.0,1.0
121,942.73,62,30.43,53,359.93,5.62,9,720.0,0.0,1.0
122,955.74,62,30.43,50,9.92,4.5,9,720.0,0.0,1.0
123,959.47,62,30.43,54,19.98,9.0,9,720.0,0.0,1.0
124,970.22,62,30.43,57,0.9,6.75,9,720.0,0.0,1.0
125,974.87,62,30.43,54,19.13,11.25,9,720.0,0.0,1.0
126,985.22,62,30.44,53,61.93,7.87,9,720.0,0.0,1.0
127,992.19,62,30.43,50,63.35,10.12,9,720.0,0.0,1.0
128,997.26,62,30.44,56,171.18,7.87,9,720.0,0.0,1.0
129,1004.6,62,30.44,54,45.65,7.87,9,720.0,0.0,1.0
130,1007.96,63,30.44,54,15.92,11.25,9,720.0,0.0,1.0
131,1013.59,63,30.44,54,130.14,9.0,9,720.0,0.0,1.0
132,1020.55,62,30.44,51,21.54,10.12,9,720.0,0.0,1.0
133,1025.63,62,30.44,45,70.89,15.75,9,720.0,0.0,1.0
134,1029.41,63,30.45,46,59.62,12.37,9,720.0,0.0,1.0
135,1034.46,63,30.45,43,79.08,7.87,9,720.0,0.0,1.0
136,1033.54,63,30.45,43,359.46,5.62,9,720.0,0.0,1.0
137,1039.06,63,30.45,40,59.89,4.5,9,720.0,0.0,1.0
138,1039.67,63,30.45,39,40.66,6.75,9,720.0,0.0,1.0
139,1037.76,64,30.46,41,20.44,14.62,9,720.0,0.0,1.0
140,1039.52,64,30.45,41,40.4,13.5,9,720.0,0.0,1.0
141,1040.14,63,30.45,41,117.62,4.5,9,720.0,0.0,1.0
142,1039.22,63,30.46,42,354.78,1.12,9,720.0,0.0,1.0
143,1035.99,63,30.46,41,35.68,4.5,9,720.0,0.0,1.0
144,1033.49,63,30.46,39,350.0,5.62,9,720.0,0.0,1.0
145,1029.15,63,30.46,41,14.63,9.0,9,720.0,0.0,1.0
146,1025.51,63,30.46,41,349.53,2.25,9,720.0,0.0,1.0
147,1023.78,63,30.46,41,31.9,9.0,9,720.0,0.0,1.0
148,1017.57,63,30.47,37,339.83,3.37,9,720.0,0.0,1.0
149,1013.93,63,30.47,34,67.14,11.25,9,720.0,0.0,1.0
150,1009.36,63,30.47,34,61.67,9.0,9,720.0,0.0,1.0
151,1002.89,63,30.47,33,32.74,6.75,9,720.0,0.0,1.0
152,999.19,63,30.47,31,4.51,6.75,9,720.0,0.0,1.0
153,987.02,62,30.47,36,38.9,10.12,9,720.0,0.0,1.0
154,981.66,63,30.47,40,28.85,7.87,9,720.0,0.0,1.0
155,973.79,63,30.47,35,114.97,5.62,9,720.0,0.0,1.0
156,964.46,63,30.47,37,60.94,6.75,9,720.0,0.0,1.0
157,957.02,62,30.47,40,37.85,7.87,9,720.0,0.0,1.0
158,946.32,62,30.47,44,38.03,11.25,9,720.0,0.0,1.0
159,933.08,62,30.47,45,37.37,11.25,9,720.0,0.0,1.0
160,926.79,62,30.47,43,10.44,5.62,9,720.0,0.0,1.0
161,915.84,62,30.47,42,5.51,11.25,9,720.0,0.0,1.0
162,901.65,62,30.47,42,24.74,9.0,9,720.0,0.0,1.0
163,899.53,61,30.47,46,37.67,7.87,9,720.0,0.0,1.0
164,878.76,62,30.47,49,61.93,7.87,9,720.0,0.0,1.0
165,867.98,61,30.47,44,359.93,6.75,9,720.0,0.0,1.0
166,855.89,62,30.47,41,26.99,7.87,9,720.0,0.0,1.0
167,841.52,61,30.47,42,21.37,9.0,9,720.0,0.0,1.0
168,830.19,62,30.47,38,52.73,10.12,9,720.0,0.0,1.0
169,815.1,62,30.47,39,61.67,6.75,9,720.0,0.0,1.0
170,799.29,62,30.47,41,42.59,5.62,9,720.0,0.0,1.0
171,785.6,61,30.47,41,37.83,7.87,9,720.0,0.0,1.0
172,768.39,61,30.47,45,7.14,7.87,9,720.0,0.0,1.0
173,754.06,61,30.47,44,186.9,4.5,9,720.0,0.0,1.0
174,738.75,61,30.47,43,7.25,7.87,9,720.0,0.0,1.0
175,722.23,61,30.46,44,33.19,11.25,9,720.0,0.0,1.0
176,706.41,61,30.46,44,56.91,6.75,9,720.0,0.0,1.0
177,686.3,61,30.46,45,70.29,3.37,9,720.0,0.0,1.0
178,669.11,60,30.46,49,16.18,9.0,9,720.0,0.0,1.0
179,652.51,61,30.46,47,52.76,2.25,9,720.0,0.0,1.0
180,634.99,61,30.46,41,14.96,6.75,9,720.0,0.0,1.0
181,617.87,61,30.46,31,19.08,7.87,9,720.0,0.0,1.0
182,597.41,61,30.46,34,0.1,2.25,9,720.0,0.0,1.0
183,578.24,61,30.46,31,24.56,4.5,9,720.0,0.0,1.0
184,559.23,60,30.46,35,41.61,1.12,9,720.0,0.0,1.0
185,538.41,60,30.46,37,31.05,3.37,9,720.0,0.0,1.0
186,519.16,60,30.46,41,25.35,4.5,9,720.0,0.0,1.0
187,499.21,60,30.45,40,3.77,3.37,9,720.0,0.0,1.0
188,478.48,60,30.45,40,17.86,3.37,9,720.0,0.0,1.0
189,458.27,59,30.45,40,74.63,1.12,9,720.0,0.0,1.0
190,438.05,59,30.45,45,64.84,2.25,9,720.0,0.0,1.0
191,416.28,60,30.44,30,53.32,5.62,9,720.0,0.0,1.0
192,395.14,59,30.44,31,75.7,3.37,9,720.0,0.0,1.0
193,373.7,58,30.44,34,58.43,2.25,9,720.0,0.0,1.0
194,352.56,57,30.43,34,113.5,1.12,9,720.0,0.0,1.0
195,305.78,54,30.43,38,146.52,1.12,9,720.0,0.0,1.0
196,278.29,52,30.43,42,142.16,2.25,9,720.0,0.0,1.0
197,251.51,51,30.43,44,151.94,2.25,9,720.0,0.0,1.0
198,222.48,50,30.43,46,143.23,4.5,9,720.0,0.0,1.0
199,164.44,49,30.43,47,172.83,3.37,9,720.0,0.0,1.0
200,21.36,48,30.43,48,176.93,4.5,9,720.0,0.0,1.0
201,20.0,48,30.42,50,182.88,5.62,9,720.0,0.0,1.0
202,19.24,48,30.42,51,173.07,7.87,9,720.0,0.0,1.0
203,18.33,47,30.42,53,191.44,7.87,9,720.0,0.0,1.0
204,17.31,47,30.42,54,193.99,9.0,9,720.0,0.0,1.0
205,16.09,47,30.42,55,190.38,10.12,9,720.0,0.0,1.0
206,14.73,47,30.42,56,179.45,10.12,9,720.0,0.0,1.0
207,12.53,47,30.42,57,188.58,6.75,9,720.0,0.0,1.0
208,9.86,47,30.42,57,188.37,7.87,9,720.0,0.0,1.0
209,7.7,47,30.41,58,192.09,7.87,9,720.0,0.0,1.0
210,6.17,47,30.41,61,157.11,7.87,9,720.0,0.0,1.0
211,4.32,47,30.41,62,177.65,6.75,9,720.0,0.0,1.0
212,2.34,47,30.41,62,187.76,7.87,9,720.0,0.0,1.0
213,1.47,47,30.41,61,185.73,7.87,9,720.0,0.0,1.0
214,1.21,47,30.41,60,184.95,9.0,9,720.0,0.0,1.0
215,1.23,47,30.41,59,182.07,9.0,9,720.0,0.0,1.0
216,1.24,46,30.41,58,184.89,10.12,9,720.0,0.0,1.0
217,1.23,46,30.4,59,190.62,7.87,9,720.0,0.0,1.0
218,1.21,46,30.4,58,188.4,7.87,9,720.0,0.0,1.0
219,1.21,46,30.4,58,193.81,5.62,9,720.0,0.0,1.0
220,1.22,45,30.4,56,191.32,6.75,9,720.0,0.0,1.0
221,1.22,45,30.4,56,184.3,5.62,9,720.0,0.0,1.0
222,1.2,45,30.4,55,174.74,4.5,9,720.0,0.0,1.0
223,1.2,45,30.4,55,184.56,6.75,9,720.0,0.0,1.0
224,1.16,46,30.4,55,165.66,6.75,9,720.0,0.0,1.0
225,1.15,46,30.4,53,177.23,4.5,9,720.0,0.0,1.0
226,1.18,46,30.4,51,173.92,4.5,9,720.0,0.0,1.0
227,1.18,46,30.4,50,174.53,5.62,9,720.0,0.0,1.0
228,1.18,46,30.4,50,163.85,3.37,9,720.0,0.0,1.0
229,1.19,46,30.4,49,166.26,4.5,9,720.0,0.0,1.0
230,1.18,46,30.39,49,176.34,3.37,9,720.0,0.0,1.0
231,1.2,46,30.39,48,170.62,5.62,9,720.0,0.0,1.0
232,1.17,46,30.39,47,176.8,3.37,9,720.0,0.0,1.0
233,1.17,46,30.39,47,170.45,4.5,9,720.0,0.0,1.0
234,1.18,46,30.39,45,180.3,3.37,9,720.0,0.0,1.0
235,1.21,46,30.39,45,187.66,6.75,9,720.0,0.0,1.0
236,1.17,46,30.39,45,173.01,5.62,9,720.0,0.0,1.0
237,1.18,46,30.39,45,178.75,5.62,9,720.0,0.0,1.0
238,1.19,46,30.39,47,171.85,6.75,9,720.0,0.0,1.0
239,1.18,46,30.39,47,189.46,6.75,9,720.0,0.0,1.0
240,1.2,46,30.39,48,169.78,5.62,9,720.0,0.0,1.0
241,1.22,46,30.39,50,183.99,6.75,9,720.0,0.0,1.0
242,1.21,46,30.39,52,173.17,5.62,9,720.0,0.0,1.0
243,1.22,46,30.38,55,186.34,7.87,9,720.0,0.0,1.0
244,1.21,46,30.38,56,159.97,6.75,9,720.0,0.0,1.0
245,1.18,47,30.38,57,170.61,4.5,9,720.0,0.0,1.0
246,1.24,47,30.39,58,171.98,3.37,9,720.0,0.0,1.0
247,1.22,47,30.38,58,177.67,6.75,9,720.0,0.0,1.0
248,1.24,47,30.39,58,165.64,5.62,9,720.0,0.0,1.0
249,1.26,47,30.38,58,181.39,4.5,9,720.0,0.0,1.0
250,1.18,47,30.38,58,156.71,3.37,9,720.0,0.0,1.0
251,1.24,47,30.39,58,156.31,7.87,9,720.0,0.0,1.0
252,1.19,47,30.39,59,168.46,4.5,9,720.0,0.0,1.0
253,1.2,47,30.39,59,172.8,5.62,9,720.0,0.0,1.0
254,1.24,47,30.39,60,158.68,5.62,9,720.0,0.0,1.0
255,1.23,47,30.39,60,167.47,6.75,9,720.0,0.0,1.0
256,1.25,47,30.39,60,165.89,5.62,9,720.0,0.0,1.0
257,1.23,47,30.39,62,163.06,5.62,9,720.0,0.0,1.0
258,1.2,47,30.39,64,154.2,2.25,9,720.0,0.0,1.0
259,1.24,47,30.39,64,190.87,6.75,9,720.0,0.0,1.0
260,1.24,47,30.39,66,168.77,4.5,9,720.0,0.0,1.0
261,1.23,47,30.4,65,183.32,5.62,9,720.0,0.0,1.0
262,1.2,47,30.4,68,170.4,4.5,9,720.0,0.0,1.0
263,1.21,48,30.4,70,186.06,5.62,9,720.0,0.0,1.0
264,1.22,48,30.4,69,152.34,5.62,9,720.0,0.0,1.0
265,1.25,48,30.4,71,171.74,5.62,9,720.0,0.0,1.0
266,1.18,48,30.4,73,164.9,6.75,9,720.0,0.0,1.0
267,1.22,48,30.4,76,193.66,5.62,9,720.0,0.0,1.0
268,1.21,48,30.4,76,183.44,5.62,9,720.0,0.0,1.0
269,1.25,48,30.4,77,169.53,5.62,9,720.0,0.0,1.0
270,1.23,48,30.41,77,170.89,5.62,9,720.0,0.0,1.0
271,1.23,48,30.41,77,180.16,5.62,9,720.0,0.0,1.0
272,1.22,48,30.41,78,159.54,5.62,9,720.0,0.0,1.0
273,1.23,48,30.41,78,160.62,5.62,9,720.0,0.0,1.0
274,1.23,48,30.41,78,179.43,5.62,9,720.0,0.0,1.0
275,1.19,48,30.41,78,177.17,5.62,9,720.0,0.0,1.0
276,1.22,48,30.41,78,176.09,3.37,9,720.0,0.0,1.0
277,1.22,48,30.41,78,170.4,6.75,9,720.0,0.0,1.0
278,1.22,49,30.41,78,181.25,4.5,9,720.0,0.0,1.0
279,1.22,49,30.41,77,183.79,7.87,9,720.0,0.0,1.0
280,1.22,49,30.41,78,166.36,4.5,9,720.0,0.0,1.0
281,1.23,49,30.42,77,168.56,5.62,9,720.0,0.0,1.0
282,1.21,50,30.42,75,162.03,5.62,9,720.0,0.0,1.0
283,1.22,50,30.42,75,121.92,2.25,9,720.0,0.0,1.0
284,1.21,49,30.42,75,148.94,6.75,9,720.0,0.0,1.0
285,1.24,50,30.42,75,167.24,5.62,9,721.0,0.0,1.0
286,1.23,50,30.42,74,169.78,5.62,9,721.0,0.0,1.0
287,1.22,50,30.42,74,183.28,4.5,9,721.0,0.0,1.0
288,1.21,50,30.42,74,159.15,6.75,9,721.0,0.0,1.0
289,1.24,50,30.42,73,176.24,4.5,9,721.0,0.0,1.0
290,1.23,50,30.42,74,158.44,6.75,9,721.0,0.0,1.0
291,1.23,50,30.42,75,161.04,7.87,9,721.0,0.0,1.0
292,1.24,50,30.43,75,145.97,6.75,9,721.0,0.0,1.0
293,1.19,50,30.43,77,168.62,7.87,9,721.0,0.0,1.0
294,1.22,50,30.43,79,160.36,5.62,9,721.0,0.0,1.0
295,1.22,50,30.43,79,149.44,4.5,9,721.0,0.0,1.0
296,1.23,50,30.43,81,147.81,9.0,9,721.0,0.0,1.0
297,1.2,51,30.43,82,161.97,5.62,9,721.0,0.0,1.0
298,1.22,51,30.43,84,169.04,6.75,9,721.0,0.0,1.0
299,1.2,51,30.43,86,167.45,5.62,9,721.0,0.0,1.0
300,1.23,50,30.43,88,163.91,6.75,9,721.0,0.0,1.0
301,1.22,50,30.43,89,142.26,10.12,9,721.0,0.0,1.0
302,1.23,50,30.43,89,161.97,12.37,9,721.0,0.0,1.0
303,1.23,51,30.43,87,159.7,9.0,9,721.0,0.0,1.0
304,1.22,51,30.44,85,78.09,5.62,9,721.0,0.0,1.0
305,1.23,51,30.43,77,88.77,4.5,9,721.0,0.0,1.0
306,1.21,51,30.43,75,130.36,4.5,9,721.0,0.0,1.0
307,1.21,51,30.43,75,162.76,4.5,9,721.0,0.0,1.0
308,1.2,51,30.43,73,146.94,7.87,9,721.0,0.0,1.0
309,1.2,51,30.43,71,116.25,3.37,9,721.0,0.0,1.0
310,1.21,51,30.43,71,144.4,3.37,9,721.0,0.0,1.0
311,1.22,51,30.43,68,148.71,7.87,9,721.0,0.0,1.0
312,1.21,51,30.43,66,153.22,5.62,9,721.0,0.0,1.0
313,1.24,51,30.43,67,179.54,5.62,9,721.0,0.0,1.0
314,1.2,51,30.43,69,180.65,2.25,9,721.0,0.0,1.0
315,1.22,51,30.43,72,157.82,3.37,9,721.0,0.0,1.0
316,1.21,51,30.44,67,135.43,5.62,9,721.0,0.0,1.0
317,1.25,51,30.43,67,100.03,2.25,9,721.0,0.0,1.0
318,1.25,51,30.43,68,112.05,6.75,9,721.0,0.0,1.0
319,1.23,51,30.43,70,151.33,9.0,9,721.0,0.0,1.0
320,1.23,51,30.43,75,138.72,6.75,9,721.0,0.0,1.0
321,1.23,51,30.43,73,159.9,7.87,9,721.0,0.0,1.0
322,1.18,52,30.43,68,105.34,4.5,9,721.0,0.0,1.0
323,1.24,52,30.43,67,127.43,5.62,9,721.0,0.0,1.0
324,1.23,52,30.43,67,120.88,7.87,9,721.0,0.0,1.0
325,1.2,52,30.43,65,88.97,2.25,9,721.0,0.0,1.0
326,1.23,52,30.42,65,111.28,4.5,9,721.0,0.0,1.0
327,1.23,52,30.42,66,140.23,5.62,9,721.0,0.0,1.0
328,1.23,52,30.42,65,160.04,6.75,9,721.0,0.0,1.0
329,1.23,52,30.42,66,139.86,10.12,9,721.0,0.0,1.0
330,1.21,52,30.41,67,122.69,6.75,9,721.0,0.0,1.0
331,1.24,52,30.41,66,152.68,1.12,9,721.0,0.0,1.0
332,1.22,53,30.41,69,162.52,5.62,9,721.0,0.0,1.0
333,1.22,53,30.41,68,103.2,6.75,9,721.0,0.0,1.0
334,1.23,53,30.41,69,128.17,5.62,9,721.0,0.0,1.0
335,1.21,53,30.41,70,96.22,6.75,9,721.0,0.0,1.0
336,1.27,53,30.41,73,109.76,6.75,9,721.0,0.0,1.0
337,1.24,53,30.41,70,97.28,6.75,9,721.0,0.0,1.0
338,1.2,53,30.4,71,189.66,1.12,9,721.0,0.0,1.0
339,1.24,53,30.4,71,119.71,4.5,9,721.0,0.0,1.0
340,1.2,53,30.4,72,116.54,4.5,9,721.0,0.0,1.0
341,1.25,52,30.4,77,144.9,4.5,9,721.0,0.0,1.0
342,1.25,52,30.39,82,137.32,6.75,9,721.0,0.0,1.0
343,1.2,52,30.39,88,73.0,3.37,9,721.0,0.0,1.0
344,1.24,52,30.39,93,118.46,4.5,9,721.0,0.0,1.0
345,1.2,53,30.39,93,89.91,1.12,9,721.0,0.0,1.0
346,1.25,53,30.39,91,76.58,5.62,9,721.0,0.0,1.0
347,1.23,52,30.39,93,68.07,2.25,9,721.0,0.0,1.0
348,1.24,52,30.39,94,105.92,2.25,9,721.0,0.0,1.0
349,1.23,52,30.39,94,128.5,4.5,9,721.0,0.0,1.0
350,1.27,53,30.39,94,75.55,2.25,9,721.0,0.0,1.0
351,1.43,53,30.39,93,89.11,3.37,9,721.0,0.0,1.0
352,2.59,53,30.39,92,61.7,4.5,9,721.0,0.0,1.0
353,4.5,54,30.39,91,15.53,4.5,9,721.0,0.0,1.0
354,6.36,55,30.39,89,42.14,3.37,9,721.0,0.0,1.0
355,9.83,55,30.38,86,25.85,3.37,9,721.0,0.0,1.0
356,13.81,56,30.38,81,70.97,1.12,9,721.0,0.0,1.0
357,24.13,56,30.38,82,71.25,1.12,9,721.0,0.0,1.0
358,32.14,56,30.38,83,58.36,2.25,9,721.0,0.0,1.0
359,44.93,56,30.38,82,6.05,4.5,9,721.0,0.0,1.0
360,61.0,57,30.38,82,0.11,0.0,9,721.0,0.0,1.0
361,82.38,57,30.38,82,6.02,1.12,9,721.0,0.0,1.0
362,104.74,58,30.38,81,75.85,4.5,9,721.0,0.0,1.0
363,128.94,58,30.38,75,60.74,4.5,9,721.0,0.0,1.0
364,154.49,58,30.38,75,90.92,3.37,9,721.0,0.0,1.0
365,181.97,57,30.38,75,84.96,7.87,9,721.0,0.0,1.0
366,210.59,58,30.38,74,90.66,5.62,9,721.0,0.0,1.0
367,238.19,58,30.38,79,83.12,4.5,9,721.0,0.0,1.0
368,273.59,58,30.38,80,31.83,4.5,9,721.0,0.0,1.0
369,297.07,58,30.38,80,73.56,4.5,9,721.0,0.0,1.0
370,314.43,58,30.38,76,52.53,5.62,9,721.0,0.0,1.0
371,341.61,58,30.38,77,354.71,4.5,9,721.0,0.0,1.0
372,406.32,59,30.38,78,25.13,9.0,9,721.0,0.0,1.0
373,378.69,59,30.38,73,12.59,10.12,9,721.0,0.0,1.0
374,398.82,59,30.37,75,44.49,6.75,9,721.0,0.0,1.0
375,417.96,59,30.37,76,27.26,5.62,9,721.0,0.0,1.0
376,444.47,59,30.37,75,35.79,4.5,9,721.0,0.0,1.0
377,462.34,59,30.37,71,43.49,7.87,9,721.0,0.0,1.0
378,479.26,59,30.37,72,54.85,5.62,9,721.0,0.0,1.0
379,502.5,60,30.37,68,38.26,5.62,9,721.0,0.0,1.0
380,521.83,60,30.37,71,39.37,10.12,9,721.0,0.0,1.0
381,539.84,61,30.38,60,38.24,4.5,9,721.0,0.0,1.0
382,563.11,61,30.38,63,29.55,7.87,9,721.0,0.0,1.0
383,580.41,61,30.37,65,99.56,2.25,9,721.0,0.0,1.0
384,601.63,61,30.37,60,7.47,7.87,9,721.0,0.0,1.0
